연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료,사업진행단계
529,공실,4호선,미아역,415-103,50.24,,,,,2단계. 시설물 점검
530,개별(일반),4호선,미아사거리역,416-101,44.4,패션잡화,2021-03-15,2026-04-14,7330000,
531,개별(일반),4호선,미아사거리역,416-104,14.8,패션잡화,2021-04-12,2026-05-12,1700000,
532,공실,4호선,미아사거리역,416-105,12,,,,,2단계. 시설물 점검
533,개별(일반),4호선,미아사거리역,416-106,20.78,패션잡화,2021-03-15,2026-04-14,6054000,
534,개별(일반),4호선,미아사거리역,416-107,22.56,패션잡화,2023-10-16,2028-11-15,5117700,
535,개별(일반),4호선,미아사거리역,416-108,16.88,기타,2020-12-07,2026-01-21,710000,
536,개별(일반),4호선,미아사거리역,416-109,17.24,패션잡화,2020-08-20,2025-09-19,980000,
537,개별(일반),4호선,미아사거리역,416-110,33.76,패션잡화,2024-01-29,2029-02-28,7810000,
538,개별(일반),4호선,미아사거리역,416-112,17.24,패션잡화,2019-08-24,2024-09-22,1030000,
539,개별(일반),4호선,미아사거리역,416-113,13.22,패션잡화,2019-04-09,2029-05-08,677400,
540,네트워크,4호선,미아사거리역,416-114,17.06,패션잡화,2018-11-16,2029-01-14,1762126,
541,개별(일반),4호선,미아사거리역,416-115,18.66,의약업,2021-08-18,2026-09-17,990000,
542,개별(일반),4호선,미아사거리역,416-116,33.94,기타,2022-10-13,2027-11-12,3500000,
543,개별(일반),4호선,미아사거리역,416-118,24.02,패션잡화,2024-01-29,2029-02-28,3200000,
544,공실,4호선,미아사거리역,416-119,13.86,,,,,2단계. 시설물 점검
545,개별(일반),4호선,미아사거리역,416-120,29.03,패션잡화,2022-08-08,2027-09-07,7370000,
546,네트워크,4호선,미아사거리역,416-121,24,식음료,2021-02-01,2026-06-01,7795261,
547,개별(일반),4호선,미아사거리역,416-122,31,식음료,2022-01-28,2027-02-27,10521600,
548,네트워크,4호선,미아사거리역,416-123,12,패션잡화,2021-11-22,2027-01-21,2165748,
549,네트워크,4호선,길음역,417-101,20.04,화장품,2020-12-23,2026-03-23,1948081,
550,개별(대형),4호선,길음역,417-102,100,밀키트,2021-01-11,2026-03-11,5500000,
551,개별(일반),4호선,성신여대입구역,418-105,16.5,패션잡화,2021-06-01,2026-07-01,1356600,
552,개별(일반),4호선,성신여대입구역,418-106,19.7,패션잡화,2019-07-16,2024-08-14,1150000,
553,개별(일반),4호선,성신여대입구역,418-107,32.47,패션잡화,2023-03-06,2028-04-05,4237300,
554,네트워크,4호선,성신여대입구역,418-108,30.8,플라워,2022-10-21,2028-02-18,4686896,
555,개별(일반),4호선,성신여대입구역,418-110,21.09,패션잡화,2020-02-19,2025-03-20,2340000,
556,개별(일반),4호선,성신여대입구역,418-111,16,식음료,2020-11-04,2025-12-04,3181500,
557,개별(일반),4호선,혜화역,420-103,17.46,식음료,2021-01-18,2026-02-17,7160000,
558,개별(일반),4호선,혜화역,420-105,20,식음료,2021-01-04,2026-02-03,5660000,
559,네트워크,4호선,동대문(4)역,421-108,23,패션잡화,2023-01-16,2028-05-16,1811085,
560,네트워크,4호선,동대문(4)역,421-109,28,식음료,2017-12-29,2025-02-06,3068170,
561,개별(일반),4호선,동대문(4)역,421-110,10,식음료,2021-01-04,2026-02-03,3350000,
562,임대진행,4호선,동대문(4)역,421-111,24.6,,,,,5단계. 입찰공고
563,개별(일반),4호선,동대문(4)역,421-118,24.47,패션잡화,2020-10-30,2025-11-29,5222000,
564,개별(일반),4호선,동대문(4)역,421-119,12.5,패션잡화,2021-08-12,2026-09-11,6200000,
565,개별(일반),4호선,동대문(4)역,421-212,20,패션잡화,2023-07-24,2028-08-23,2200000,
566,개별(일반),4호선,동대문(4)역,421-213,40.7,패션잡화,2023-06-05,2028-07-05,5580000,
567,공실,4호선,동대문(4)역,421-214,40.76,,,,,1단계. 사업계획 수립중
568,개별(일반),4호선,동대문(4)역,421-215,40.46,패션잡화,2023-06-26,2028-07-26,4041000,
569,임대진행,4호선,동대문(4)역,421-217,19.8,,,,,3단계. 감정평가
570,개별(일반),4호선,동대문역사문화공원(4)역,422-104,16.68,패션잡화,2022-06-16,2027-07-16,1810000,
571,개별(일반),4호선,동대문역사문화공원(4)역,422-203,27.09,패션잡화,2021-12-28,2027-01-27,7333300,
572,개별(일반),4호선,동대문역사문화공원(4)역,422-205,89,패션잡화,2021-05-26,2026-06-25,3530000,
573,네트워크,4호선,동대문역사문화공원(4)역,422-206,58,패션잡화,2021-11-22,2027-01-21,1933539,
574,개별(일반),4호선,동대문역사문화공원(4)역,422-211,30,사무실,2023-07-24,2028-08-23,1672000,
575,개별(일반),4호선,충무로(4)역,423-101,18.86,플라워,2023-05-08,2028-06-07,2018500,
576,네트워크,4호선,충무로(4)역,423-102,31.54,화장품,2020-12-23,2026-03-23,6921841,
577,네트워크,4호선,충무로(4)역,423-104,21,식음료,2021-06-03,2026-08-02,3576383,
578,개별(일반),4호선,충무로(4)역,423-106,19.93,편의점,2022-11-14,2027-12-14,3280000,
579,개별(일반),4호선,충무로(4)역,423-109,18.2,편의점,2019-04-30,2029-05-29,3845700,
580,공실,4호선,충무로(4)역,423-203,17.57,,,,,2단계. 시설물 점검
581,개별(대형),4호선,충무로(4)역,423-207,147.5,사무실,2022-10-17,2028-02-14,1900000,
582,네트워크,4호선,명동역,424-102,26,식음료,2021-02-01,2026-06-01,9605672,
583,개별(일반),4호선,회현역,425-101,20.3,패션잡화,2019-08-24,2024-09-22,4222000,
584,개별(일반),4호선,회현역,425-104,81.7,패션잡화,2020-02-24,2025-03-25,14430000,
585,공실,4호선,회현역,425-203,30,,,,,2단계. 시설물 점검
586,임대진행,4호선,숙대입구역,427-101,9.8,,,,,5단계. 입찰공고
587,개별(일반),4호선,숙대입구역,427-103,24.7,식음료,2021-12-10,2027-01-09,2270000,
588,개별(일반),4호선,신용산역,429-101,17.8,식음료,2022-06-15,2027-06-15,1700000,
589,개별(일반),4호선,신용산역,429-102,15.5,패션잡화,2021-12-06,2027-01-05,896400,
590,개별(일반),4호선,신용산역,429-103,15.5,플라워,2020-10-31,2025-10-31,801000,
591,개별(일반),4호선,신용산역,429-104,15.5,기타,2023-09-11,2028-09-10,911000,
592,공실,4호선,신용산역,429-105,31,,,,,2단계. 시설물 점검
593,네트워크,4호선,신용산역,429-107,30.6,패션잡화,2022-10-11,2028-02-08,1760887,
594,개별(일반),4호선,신용산역,429-111,17.5,플라워,2022-08-08,2027-09-07,771700,
595,임대진행,4호선,신용산역,429-112,11.4,,,,,3단계. 감정평가
596,개별(일반),4호선,신용산역,429-113,23.76,기타,2020-08-13,2025-09-12,1462800,
597,개별(일반),4호선,신용산역,429-114,16.95,식음료,2020-02-24,2025-03-25,3350000,
598,개별(일반),4호선,이촌역,430-101,22,플라워,2023-05-02,2028-06-01,1319000,
599,네트워크,4호선,이촌역,430-103,19.3,식음료,2023-02-17,2025-02-16,1386563,
600,개별(일반),4호선,동작역,431-002,20,편의점,2022-05-04,2027-05-04,4730000,
601,개별(일반),4호선,동작역,431-003,16,식음료,2020-11-09,2025-12-09,3570000,
602,개별(일반),4호선,동작역,431-004,10.75,식음료,2019-12-21,2025-01-19,1510000,
603,개별(일반),4호선,총신대입구역,432-103,14.8,패션잡화,2023-10-23,2028-11-22,900000,
604,개별(일반),4호선,총신대입구역,432-104,31.9,패션잡화,2021-01-04,2026-02-03,1810000,
605,개별(일반),4호선,총신대입구역,432-108,16.3,사무실,2020-11-05,2025-12-05,186000,
606,개별(일반),4호선,총신대입구역,432-109,16.3,기타,2020-08-20,2025-09-19,1033300,
607,임대진행,4호선,총신대입구역,432-110,16.3,,,,,5단계. 입찰공고
608,개별(일반),4호선,총신대입구역,432-111,16.3,기타,2020-10-19,2025-11-18,1416600,
609,개별(일반),4호선,총신대입구역,432-112,16.3,기타,2020-10-19,2025-11-18,1416600,
610,개별(일반),4호선,총신대입구역,432-113,16.3,무인프린트,2022-07-08,2027-08-07,916600,
611,개별(일반),4호선,총신대입구역,432-114,16.3,패션잡화,2023-09-08,2028-10-08,1361600,
612,개별(일반),4호선,총신대입구역,432-115,31.4,식음료,2023-03-06,2028-04-05,5500000,
613,개별(일반),4호선,총신대입구역,432-117,12.63,식음료,2020-02-14,2025-03-14,734500,
614,임대진행,4호선,총신대입구역,432-123,21,,,,,3단계. 감정평가
615,임대진행,4호선,총신대입구역,432-124,11,,,,,3단계. 감정평가
616,개별(일반),4호선,총신대입구역,432-125,24,패션잡화,2020-02-24,2025-03-25,2000800,
617,네트워크,4호선,총신대입구역,432-126,21.4,식음료,2023-02-17,2025-02-16,3468097,
618,네트워크,4호선,총신대입구역,432-219,25.06,화장품,2020-12-23,2026-03-23,5451432,
619,개별(일반),4호선,총신대입구역,432-220,12.32,식음료,2021-01-04,2026-02-03,4444400,
620,공실,4호선,총신대입구역,432-222,36.34,,,,,2단계. 시설물 점검
621,개별(일반),4호선,사당(4)역,433-101,62.6,패션잡화,2022-11-03,2027-12-03,10600000,
622,개별(일반),4호선,사당(4)역,433-103,93,패션잡화,2020-06-22,2025-07-22,9630000,
623,개별(일반),4호선,사당(4)역,433-106,30.2,패션잡화,2023-09-22,2028-10-22,3633300,
624,개별(일반),4호선,사당(4)역,433-107,15.5,패션잡화,2023-09-22,2028-10-22,3000000,
625,개별(일반),4호선,사당(4)역,433-108,25.8,패션잡화,2024-05-20,2029-06-19,3303000,
626,개별(일반),4호선,사당(4)역,433-109,15.5,플라워,2022-12-22,2028-01-21,2620000,
627,임대진행,4호선,사당(4)역,433-110,33.8,,,,,5단계. 입찰공고
628,공실,4호선,사당(4)역,433-111,31,,,,,2단계. 시설물 점검
629,개별(일반),4호선,사당(4)역,433-112,62,식음료,2021-01-11,2026-02-10,5700000,
630,개별(일반),4호선,사당(4)역,433-114,31,패션잡화,2024-03-08,2029-04-07,5650000,
631,개별(일반),4호선,사당(4)역,433-115,92.1,패션잡화,2022-02-21,2027-03-23,13330000,
632,공실,4호선,사당(4)역,433-118,61.4,,,,,1단계. 사업계획 수립중
633,개별(일반),4호선,사당(4)역,433-120,30.7,패션잡화,2022-08-08,2027-09-07,4530000,
634,개별(일반),4호선,사당(4)역,433-121,30.7,패션잡화,2023-10-18,2028-11-17,3700000,
635,개별(일반),4호선,사당(4)역,433-122,30.7,의약업,2021-02-26,2026-03-28,5110000,
636,개별(일반),4호선,사당(4)역,433-123,30.7,기타,2021-01-04,2026-02-03,3620000,
637,개별(일반),4호선,사당(4)역,433-124,30.7,패션잡화,2021-07-08,2026-08-07,3599900,
638,공실,4호선,사당(4)역,433-125,30.7,,,,,2단계. 시설물 점검
639,개별(일반),4호선,사당(4)역,433-126,60,기타,2020-12-21,2026-01-20,6310000,
640,개별(대형),4호선,사당(4)역,433-140,408,패션잡화,2021-04-22,2026-06-21,40100000,
641,개별(일반),4호선,사당(4)역,433-141,22,식음료,2019-12-21,2025-01-19,4016000,
642,공실,4호선,사당(4)역,433-229,119.75,,,,,2단계. 시설물 점검
643,공실,4호선,사당(4)역,433-230,29.4,,,,,2단계. 시설물 점검
644,개별(대형),4호선,사당(4)역,433-239,871.4,기타,2019-11-15,2025-03-13,61517300,
645,네트워크,4호선,사당(4)역,433-242,24.8,패션잡화,2023-07-08,2025-07-07,6075444,
646,네트워크,5호선,방화역,510-101,30,편의점,2023-09-22,2028-10-04,2262000,
647,네트워크,5호선,방화역,510-102,40.53,플라워,2022-10-27,2028-02-24,2261169,
648,개별(일반),5호선,방화역,510-103,19.65,패션잡화,2023-08-11,2028-09-10,975000,
649,네트워크,5호선,개화산역,511-001,30,편의점,2023-09-22,2028-10-04,3022500,
650,개별(대형),5호선,김포공항역,512-101,103.42,사무실,2020-04-20,2025-05-20,968000,
651,네트워크,5호선,김포공항역,512-201,44.39,식음료,2021-09-06,2026-11-05,4927776,
652,네트워크,5호선,김포공항역,512-202,49.96,패션잡화,2023-07-08,2025-07-07,5113672,
653,네트워크,5호선,김포공항역,512-203,32.34,편의점,2023-09-22,2028-10-04,3256500,
654,개별(일반),5호선,김포공항역,512-205,53.97,식음료,2020-04-17,2025-05-17,5940000,
655,개별(일반),5호선,김포공항역,512-207,44.47,패션잡화,2022-06-09,2027-07-09,6140000,
656,개별(일반),5호선,김포공항역,512-208,43.71,패션잡화,2020-08-03,2025-09-02,4130000,
657,개별(일반),5호선,김포공항역,512-209,25.29,사무실,2020-12-28,2026-01-27,722400,
658,개별(일반),5호선,김포공항역,512-210,25.29,패션잡화,2020-08-31,2025-09-30,2901000,
659,개별(일반),5호선,김포공항역,512-211,25.58,패션잡화,2020-08-31,2025-09-30,3101000,
660,개별(일반),5호선,김포공항역,512-212,21.53,플라워,2020-08-03,2025-09-02,4310000,
661,네트워크,5호선,김포공항역,512-213,53.15,화상면접,2022-09-06,2028-01-04,613792,
662,개별(일반),5호선,김포공항역,512-214,48.52,패션잡화,2021-03-15,2026-04-14,4210000,
663,네트워크,5호선,송정역,513-101,21.87,식음료,2021-02-25,2026-04-26,2414160,
664,네트워크,5호선,송정역,513-102,22.66,패션잡화,2023-07-17,2028-08-31,1194933,
665,네트워크,5호선,송정역,513-201,42.37,편의점,2023-09-22,2028-10-04,2340000,
666,임대진행,5호선,송정역,513-203,70.51,,,,,5단계. 입찰공고
667,개별(일반),5호선,송정역,513-204,35.67,패션잡화,2024-05-02,2029-06-01,2020000,
668,개별(일반),5호선,송정역,513-205,16.2,패션잡화,2017-10-11,2024-11-09,1053100,
669,네트워크,5호선,발산역,515-102,33,편의점,2023-09-22,2028-10-04,4914000,
670,개별(일반),5호선,발산역,515-104,15.7,플라워,2023-11-23,2028-12-23,1500000,
671,개별(일반),5호선,발산역,515-105,27.14,식음료,2022-09-01,2027-10-01,6156100,
672,개별(일반),5호선,발산역,515-106,39.44,의약업,2021-05-04,2026-06-03,11030000,
673,네트워크,5호선,우장산역,516-101,33,편의점,2023-09-22,2028-10-04,4777500,
674,공실,5호선,우장산역,516-102,23.76,,,,,2단계. 시설물 점검
675,개별(일반),5호선,우장산역,516-103,14.8,무인프린트,2022-12-15,2028-01-14,850000,
676,개별(일반),5호선,우장산역,516-104,44.8,사무실,2020-12-28,2026-01-27,1685600,
677,네트워크,5호선,우장산역,516-105,19.84,패션잡화,2018-11-16,2029-01-14,1417987,
678,개별(일반),5호선,우장산역,516-106,19.88,패션잡화,2020-08-03,2025-09-02,2180000,
679,복합,5호선,화곡역,517-101,101.16,패션잡화,2017-05-22,2027-09-19,13475000,
680,복합,5호선,화곡역,517-102,22.5,패션잡화,2017-05-22,2027-09-19,9363200,
681,복합,5호선,화곡역,517-103,16.67,패션잡화,2017-05-22,2027-09-19,,
682,네트워크,5호선,화곡역,517-105,30,편의점,2023-09-22,2028-10-04,9321000,
683,개별(일반),5호선,화곡역,517-106,27,화장품,2020-08-03,2025-09-02,7500000,
684,네트워크,5호선,화곡역,517-107,67.04,식음료,2021-09-06,2026-11-05,8296201,
685,개별(일반),5호선,화곡역,517-108,33.77,패션잡화,2020-09-18,2025-10-18,5100000,
686,복합,5호선,까치산(5)역,518-101,27.45,패션잡화,2017-05-22,2027-09-19,7554800,
687,네트워크,5호선,까치산(5)역,518-102,37.82,편의점,2023-09-22,2028-10-04,8970000,
688,개별(일반),5호선,까치산(5)역,518-103,30.72,패션잡화,2019-10-08,2024-11-06,8152700,
689,복합,5호선,까치산(5)역,518-104,28.07,패션잡화,2017-05-22,2027-09-19,10223400,
690,개별(일반),5호선,까치산(5)역,518-106,36.85,식음료,2020-08-03,2025-09-02,10180000,
691,개별(일반),5호선,까치산(5)역,518-107,21.25,식음료,2020-07-30,2025-08-29,6210000,
692,복합,5호선,까치산(5)역,518-108,19.28,플라워,2017-05-22,2027-09-19,6383300,
693,개별(일반),5호선,까치산(5)역,518-109,24.15,기타,2020-08-03,2025-09-02,9300000,
694,복합,5호선,까치산(5)역,518-110,19.31,패션잡화,2017-05-22,2027-09-19,5297600,
695,네트워크,5호선,신정역,519-201,24,편의점,2023-09-22,2028-10-04,2457000,
696,임대진행,5호선,신정역,519-202,42.71,,,,,5단계. 입찰공고
697,개별(일반),5호선,목동역,520-101,23.69,화장품,2022-06-09,2027-07-09,2500000,
698,네트워크,5호선,목동역,520-102,31,패션잡화,2023-07-08,2025-07-07,3173011,
699,네트워크,5호선,목동역,520-103,30,편의점,2023-09-22,2028-10-04,5109000,
700,개별(일반),5호선,목동역,520-104,22.98,식음료,2023-04-20,2028-05-20,4330000,
701,개별(일반),5호선,목동역,520-106,22.8,패션잡화,2022-06-09,2027-07-09,3750000,
702,개별(일반),5호선,목동역,520-107,26.42,식음료,2020-08-03,2025-09-02,4200000,
703,복합,5호선,오목교역,521-101,9.01,패션잡화,2023-07-03,2028-10-11,,
704,복합,5호선,오목교역,521-102,14.15,식음료,2023-07-03,2028-10-11,,
705,복합,5호선,오목교역,521-103,21.95,식음료,2023-07-03,2028-10-11,,
706,복합,5호선,오목교역,521-104,7.61,플라워,2023-07-03,2028-10-11,,
707,복합,5호선,오목교역,521-105,89.1,기타,2023-07-03,2028-10-11,,
708,복합,5호선,오목교역,521-106,59.87,기타,2023-07-03,2028-10-11,,
709,복합,5호선,오목교역,521-107,11.64,기타,2023-07-03,2028-10-11,,
710,복합,5호선,오목교역,521-108,116.4,기타,2023-07-03,2028-10-11,,
711,복합,5호선,오목교역,521-109,106.82,식음료,2023-07-03,2028-10-11,,
712,복합,5호선,오목교역,521-110,18.24,식음료,2023-07-03,2028-10-11,,
713,공실,5호선,오목교역,521-111,118.84,,,,,1단계. 사업계획 수립중
714,복합,5호선,오목교역,521-112,8.15,기타,2023-07-03,2028-10-11,,
715,복합,5호선,오목교역,521-113,14.07,기타,2023-07-03,2028-10-11,,
716,복합,5호선,오목교역,521-114,33.1,패션잡화,2023-07-03,2028-10-11,,
717,복합,5호선,오목교역,521-115,16.2,기타,2023-07-03,2028-10-11,,
718,복합,5호선,오목교역,521-116,20.52,패션잡화,2023-07-03,2028-10-11,,
719,복합,5호선,오목교역,521-117,51.85,기타,2023-07-03,2028-10-11,,
720,복합,5호선,오목교역,521-118,52.37,기타,2023-07-03,2028-10-11,,
721,복합,5호선,오목교역,521-119,54.78,기타,2023-07-03,2028-10-11,,
722,복합,5호선,오목교역,521-120,109.56,기타,2023-07-03,2028-10-11,,
723,복합,5호선,오목교역,521-121,127.56,기타,2023-07-03,2028-10-11,,
724,복합,5호선,오목교역,521-122,65.13,플라워,2023-07-03,2028-10-11,86110000,
725,복합,5호선,오목교역,521-123,87.78,패션잡화,2023-07-03,2028-10-11,,
726,복합,5호선,오목교역,521-124,78.62,기타,2023-07-03,2028-10-11,,
727,복합,5호선,오목교역,521-125,81.05,기타,2023-07-03,2028-10-11,,
728,복합,5호선,오목교역,521-126,74.86,기타,2023-07-03,2028-10-11,,
729,복합,5호선,오목교역,521-127,53.08,패션잡화,2023-07-03,2028-10-11,,
730,복합,5호선,오목교역,521-128,26.17,식음료,2023-07-03,2028-10-11,,
731,복합,5호선,오목교역,521-129,28.49,패션잡화,2023-07-03,2028-10-11,,
732,복합,5호선,오목교역,521-130,28.02,패션잡화,2023-07-03,2028-10-11,,
733,복합,5호선,오목교역,521-131,57.6,기타,2023-07-03,2028-10-11,,
734,복합,5호선,오목교역,521-132,18.24,식음료,2023-07-03,2028-10-11,,
735,복합,5호선,오목교역,521-133,27.63,기타,2023-07-03,2028-10-11,,
736,복합,5호선,오목교역,521-201,47.97,패션잡화,2023-07-03,2028-10-11,,
737,복합,5호선,오목교역,521-202,49,패션잡화,2023-07-03,2028-10-11,,
738,복합,5호선,오목교역,521-203,27.47,식음료,2023-07-03,2028-10-11,,
739,복합,5호선,오목교역,521-204,21.7,식음료,2023-07-03,2028-10-11,,
740,복합,5호선,오목교역,521-205,9.7,식음료,2023-07-03,2028-10-11,,
741,네트워크,5호선,오목교역,521-206,43.51,편의점,2023-09-22,2028-10-04,5577000,
742,복합,5호선,오목교역,521-207,15.16,기타,2023-07-03,2028-10-11,,
743,복합,5호선,오목교역,521-208,22.25,식음료,2023-07-03,2028-10-11,,
744,복합,5호선,오목교역,521-209,62.37,식음료,2023-07-03,2028-10-11,,
745,복합,5호선,오목교역,521-211,35.8,패션잡화,2023-07-03,2028-10-11,,
746,복합,5호선,오목교역,521-212,36.19,식음료,2023-07-03,2028-10-11,,
747,복합,5호선,오목교역,521-213,31.1,식음료,2023-07-03,2028-10-11,,
748,복합,5호선,오목교역,521-214,37.9,기타,2023-07-03,2028-10-11,,
749,네트워크,5호선,영등포구청(5)역,523-401,34.33,편의점,2023-09-22,2028-10-04,2496000,
750,네트워크,5호선,영등포구청(5)역,523-402,313.4,공유오피스,2021-05-07,2026-11-03,5779441,
751,네트워크,5호선,영등포구청(5)역,523-404,24.8,식음료,2021-09-06,2026-11-05,5518570,
752,네트워크,5호선,영등포시장역,524-202,37.3,편의점,2023-09-22,2028-10-04,3100500,
753,개별(일반),5호선,신길역,525-101,20,식음료,2024-02-13,2029-03-14,7560000,
754,네트워크,5호선,신길역,525-102,40,플라워,2018-11-27,2029-01-25,3542000,
755,개별(일반),5호선,신길역,525-106,10,패션잡화,2023-08-11,2028-08-10,7100000,
756,공실,5호선,여의도역,526-100,47,,,,,1단계. 사업계획 수립중
757,네트워크,5호선,여의도역,526-101,35.24,편의점,2023-09-22,2028-10-04,4582500,
758,개별(일반),5호선,여의도역,526-102,22.04,식음료,2019-09-20,2024-10-19,2300000,
759,네트워크,5호선,여의도역,526-201,23.65,플라워,2018-11-27,2029-01-25,2929289,
760,개별(일반),5호선,여의도역,526-202,23.65,기타,2023-04-25,2028-05-25,1070000,
761,임대진행,5호선,여의도역,526-203,19.93,,,,,5단계. 입찰공고
762,네트워크,5호선,여의나루역,527-101,33.39,편의점,2023-09-22,2028-10-04,5869500,
763,개별(일반),5호선,여의나루역,527-102,34.86,식음료,2022-05-12,2027-06-11,2021800,
764,네트워크,5호선,마포역,528-101,29,편의점,2023-09-22,2028-10-04,3549000,
765,개별(일반),5호선,마포역,528-102,17.43,플라워,2021-07-12,2026-08-11,2350000,
766,개별(일반),5호선,마포역,528-103,41.13,기타,2021-02-08,2026-02-07,2960000,
767,네트워크,5호선,마포역,528-104,46.6,식음료,2021-09-06,2026-11-05,3861593,
768,네트워크,5호선,마포역,528-401,32.9,패션잡화,2023-07-17,2028-08-31,2368897,
769,개별(일반),5호선,공덕(5)역,529-101,70.3,패션잡화,2023-05-19,2028-06-18,4250200,
770,개별(대형),5호선,공덕(5)역,529-102,44,기타,2019-01-10,2029-05-09,24518300,
771,개별(대형),5호선,공덕(5)역,529-103,95.2,기타,2019-01-10,2029-05-09,,
772,개별(대형),5호선,공덕(5)역,529-105,38.7,식음료,2019-01-10,2029-05-09,,
773,개별(대형),5호선,공덕(5)역,529-106,39.7,식음료,2019-01-10,2029-05-09,,
774,개별(대형),5호선,공덕(5)역,529-107,38.7,기타,2019-01-10,2029-05-09,,
775,개별(대형),5호선,공덕(5)역,529-108,38.7,패션잡화,2019-01-10,2029-05-09,,
776,개별(대형),5호선,공덕(5)역,529-109,22,기타,2019-01-10,2029-05-09,,
777,개별(일반),5호선,공덕(5)역,529-110,34.5,기타,2019-12-30,2024-12-29,1211600,
778,네트워크,5호선,공덕(5)역,529-111,34.9,편의점,2023-09-22,2028-10-04,4056000,
779,네트워크,5호선,공덕(5)역,529-113,58.2,공유오피스,2021-05-07,2026-11-03,1126258,
780,개별(일반),5호선,공덕(5)역,529-114,33.71,기타,2023-07-21,2028-08-20,1083300,
781,개별(일반),5호선,공덕(5)역,529-115,37,패션잡화,2024-06-27,2029-07-27,1166600,
782,개별(일반),5호선,공덕(5)역,529-116,34,무인프린트,2023-04-20,2028-05-20,1375000,
783,개별(일반),5호선,공덕(5)역,529-117,33,플라워,2020-02-25,2025-03-26,1500000,
784,개별(일반),5호선,공덕(5)역,529-118,32,기타,2023-04-10,2028-05-10,949000,
785,개별(일반),5호선,공덕(5)역,529-119,32,패션잡화,2022-09-01,2027-10-01,1430000,
786,개별(일반),5호선,공덕(5)역,529-120,47.3,플라워,2021-07-05,2026-08-04,2517800,
787,개별(일반),5호선,공덕(5)역,529-121,52,플라워,2022-04-26,2027-05-26,2015000,
788,개별(일반),5호선,공덕(5)역,529-122,41.58,플라워,2020-11-13,2025-12-13,2815000,
789,개별(일반),5호선,공덕(5)역,529-123,28.5,패션잡화,2022-09-21,2027-10-21,968000,
790,네트워크,5호선,공덕(5)역,529-130,114.7,공유오피스,2021-05-07,2026-11-03,2801979,
791,개별(일반),5호선,공덕(5)역,529-202,57.3,패션잡화,2021-07-23,2026-08-22,1833300,
792,네트워크,5호선,애오개역,530-101,32.2,편의점,2023-09-22,2028-10-04,3159000,
793,개별(일반),5호선,충정로(5)역,531-101,42,사무실,2020-04-16,2025-05-16,550000,
794,개별(일반),5호선,충정로(5)역,531-201,20,패션잡화,2021-07-19,2026-08-18,447500,
795,네트워크,5호선,충정로(5)역,531-202,45,편의점,2023-09-22,2028-10-04,3861000,
796,임대진행,5호선,충정로(5)역,531-203,36.85,,,,,5단계. 입찰공고
797,개별(일반),5호선,충정로(5)역,531-204,29.01,무인프린트,2023-07-31,2028-08-30,450000,
798,개별(일반),5호선,충정로(5)역,531-205,29.01,패션잡화,2022-06-21,2027-07-21,407000,
799,개별(일반),5호선,서대문역,532-101,14.74,플라워,2019-04-30,2029-05-29,874600,
800,개별(일반),5호선,서대문역,532-102,8.25,무인프린트,2022-07-08,2027-08-07,375000,
801,개별(일반),5호선,서대문역,532-103,10.5,무인프린트,2023-07-21,2028-08-20,450000,
802,네트워크,5호선,서대문역,532-104,30.32,편의점,2023-09-22,2028-10-04,7254000,
803,개별(일반),5호선,서대문역,532-105,10.5,기타,2023-06-19,2028-07-19,514200,
804,임대진행,5호선,서대문역,532-106,42.95,,,,,5단계. 입찰공고
805,개별(일반),5호선,서대문역,532-107,11.88,식음료,2021-03-15,2026-04-14,3011000,
806,개별(일반),5호선,서대문역,532-108,9.05,기타,2024-02-13,2029-03-14,551000,
807,개별(일반),5호선,서대문역,532-109,9.06,편의점,2023-04-28,2028-05-28,399800,
808,개별(일반),5호선,서대문역,532-301,25.79,패션잡화,2024-05-02,2029-06-01,600000,
809,개별(대형),5호선,광화문역,533-101,849,기타,2020-10-29,2026-02-26,8525000,
810,네트워크,5호선,광화문역,533-103,56,편의점,2023-09-22,2028-10-04,9574500,
811,네트워크,5호선,광화문역,533-104,10,패션잡화,2018-11-16,2029-01-14,1319999,
812,개별(일반),5호선,광화문역,533-106,65.34,기타,2024-04-01,2029-05-01,733300,
813,네트워크,5호선,종로3가(5)역,534-202,29.48,편의점,2023-09-22,2028-10-04,6552000,
814,개별(일반),5호선,종로3가(5)역,534-301,21.4,기타,2022-10-27,2027-11-26,2583300,
815,개별(일반),5호선,을지로4가(5)역,535-101,29.82,사무실,2019-05-08,2029-06-06,317600,
816,개별(일반),5호선,을지로4가(5)역,535-102,16.8,패션잡화,2017-09-16,2024-10-15,1502400,
817,개별(일반),5호선,을지로4가(5)역,535-103,19.6,패션잡화,2023-08-17,2028-09-16,1205500,
818,네트워크,5호선,을지로4가(5)역,535-104,34.98,편의점,2023-09-22,2028-10-04,7488000,
819,개별(일반),5호선,을지로4가(5)역,535-105,41.45,패션잡화,2019-10-29,2024-11-27,633300,
820,개별(일반),5호선,을지로4가(5)역,535-106,41.45,사무실,2019-05-08,2029-06-06,537900,
821,네트워크,5호선,청구(5)역,537-301,47.89,패션잡화,2021-11-22,2027-01-21,2357147,
822,네트워크,5호선,청구(5)역,537-302,30,식음료,2021-09-06,2026-11-05,3832696,
823,네트워크,5호선,청구(5)역,537-304,46.33,편의점,2023-09-22,2028-10-04,4368000,
